name,storage,lock_status,condition,price,amz
GALAXY S20 FE,128GB,att,flawless,$51.00,$125.00
GALAXY S20 FE,128GB,att,good,$46.00,$125.00
GALAXY S20 FE,128GB,att,fair,$23.00,$125.00
GALAXY S20 FE,128GB,att,damaged,$11.00,$125.00
GALAXY S20 FE,128GB,verizon,flawless,$56.00,$125.00
GALAXY S20 FE,128GB,verizon,good,$46.00,$125.00
GALAXY S20 FE,128GB,verizon,fair,$31.00,$125.00
GALAXY S20 FE,128GB,verizon,damaged,$11.00,$125.00
GALAXY S20 FE,128GB,tmobile,flawless,$41.00,$125.00
GALAXY S20 FE,128GB,tmobile,good,$31.00,$125.00
GALAXY S20 FE,128GB,tmobile,fair,$17.00,$125.00
GALAXY S20 FE,128GB,tmobile,damaged,$6.00,$125.00
GALAXY S20 FE,128GB,unlocked,flawless,$66.00,$145.00
GALAXY S20 FE,128GB,unlocked,good,$56.00,$145.00
GALAXY S20 FE,128GB,unlocked,fair,$31.00,$145.00
GALAXY S20 FE,128GB,unlocked,damaged,$11.00,$145.00
GALAXY S20 FE,256GB,att,flawless,$51.00,$394.00
GALAXY S20 FE,256GB,att,good,$46.00,$394.00
GALAXY S20 FE,256GB,att,fair,$23.00,$394.00
GALAXY S20 FE,256GB,att,damaged,$11.00,$394.00
GALAXY S20 FE,256GB,verizon,flawless,$56.00,$394.00
GALAXY S20 FE,256GB,verizon,good,$46.00,$394.00
GALAXY S20 FE,256GB,verizon,fair,$31.00,$394.00
GALAXY S20 FE,256GB,verizon,damaged,$11.00,$394.00
GALAXY S20 FE,256GB,tmobile,flawless,$41.00,$394.00
GALAXY S20 FE,256GB,tmobile,good,$31.00,$394.00
GALAXY S20 FE,256GB,tmobile,fair,$17.00,$394.00
GALAXY S20 FE,256GB,tmobile,damaged,$6.00,$394.00
GALAXY S20 FE,256GB,unlocked,flawless,$66.00,$414.00
GALAXY S20 FE,256GB,unlocked,good,$56.00,$414.00
GALAXY S20 FE,256GB,unlocked,fair,$31.00,$414.00
GALAXY S20 FE,256GB,unlocked,damaged,$11.00,$414.00
GALAXY S21,128GB,att,flawless,$72.00,$144.00
GALAXY S21,128GB,att,good,$61.00,$144.00
GALAXY S21,128GB,att,fair,$42.00,$144.00
GALAXY S21,128GB,att,damaged,$12.00,$144.00
GALAXY S21,128GB,verizon,flawless,$72.00,$144.00
GALAXY S21,128GB,verizon,good,$61.00,$144.00
GALAXY S21,128GB,verizon,fair,$32.00,$144.00
GALAXY S21,128GB,verizon,damaged,$21.00,$144.00
GALAXY S21,128GB,tmobile,flawless,$55.00,$144.00
GALAXY S21,128GB,tmobile,good,$41.00,$144.00
GALAXY S21,128GB,tmobile,fair,$22.00,$144.00
GALAXY S21,128GB,tmobile,damaged,$12.00,$144.00
GALAXY S21,128GB,unlocked,flawless,$84.34,$164.00
GALAXY S21,128GB,unlocked,good,$71.00,$164.00
GALAXY S21,128GB,unlocked,fair,$52.00,$164.00
GALAXY S21,128GB,unlocked,damaged,$18.00,$164.00
GALAXY S21,256GB,att,flawless,$72.00,$204.99
GALAXY S21,256GB,att,good,$61.00,$204.99
GALAXY S21,256GB,att,fair,$42.00,$204.99
GALAXY S21,256GB,att,damaged,$12.00,$204.99
GALAXY S21,256GB,verizon,flawless,$72.00,$204.99
GALAXY S21,256GB,verizon,good,$61.00,$204.99
GALAXY S21,256GB,verizon,fair,$32.00,$204.99
GALAXY S21,256GB,verizon,damaged,$21.00,$204.99
GALAXY S21,256GB,tmobile,flawless,$55.00,$204.99
GALAXY S21,256GB,tmobile,good,$41.00,$204.99
GALAXY S21,256GB,tmobile,fair,$22.00,$204.99
GALAXY S21,256GB,tmobile,damaged,$12.00,$204.99
GALAXY S21,256GB,unlocked,flawless,$84.34,$224.99
GALAXY S21,256GB,unlocked,good,$71.00,$224.99
GALAXY S21,256GB,unlocked,fair,$52.00,$224.99
GALAXY S21,256GB,unlocked,damaged,$18.00,$224.99
GALAXY S21 FE,128GB,att,flawless,$51.00,$134.99
GALAXY S21 FE,128GB,att,good,$43.00,$134.99
GALAXY S21 FE,128GB,att,fair,$21.00,$134.99
GALAXY S21 FE,128GB,att,damaged,$12.00,$134.99
GALAXY S21 FE,128GB,verizon,flawless,$51.00,$134.99
GALAXY S21 FE,128GB,verizon,good,$43.00,$134.99
GALAXY S21 FE,128GB,verizon,fair,$19.00,$134.99
GALAXY S21 FE,128GB,verizon,damaged,$12.00,$134.99
GALAXY S21 FE,128GB,tmobile,flawless,$36.00,$134.99
GALAXY S21 FE,128GB,tmobile,good,$29.00,$134.99
GALAXY S21 FE,128GB,tmobile,fair,$21.00,$134.99
GALAXY S21 FE,128GB,tmobile,damaged,$7.00,$134.99
GALAXY S21 FE,128GB,unlocked,flawless,$71.00,$154.99
GALAXY S21 FE,128GB,unlocked,good,$66.00,$154.99
GALAXY S21 FE,128GB,unlocked,fair,$41.00,$154.99
GALAXY S21 FE,128GB,unlocked,damaged,$12.00,$154.99
GALAXY S21 FE,256GB,att,flawless,$51.00,$179.99
GALAXY S21 FE,256GB,att,good,$43.00,$179.99
GALAXY S21 FE,256GB,att,fair,$21.00,$179.99
GALAXY S21 FE,256GB,att,damaged,$12.00,$179.99
GALAXY S21 FE,256GB,verizon,flawless,$51.00,$179.99
GALAXY S21 FE,256GB,verizon,good,$43.00,$179.99
GALAXY S21 FE,256GB,verizon,fair,$19.00,$179.99
GALAXY S21 FE,256GB,verizon,damaged,$12.00,$179.99
GALAXY S21 FE,256GB,tmobile,flawless,$36.00,$179.99
GALAXY S21 FE,256GB,tmobile,good,$29.00,$179.99
GALAXY S21 FE,256GB,tmobile,fair,$21.00,$179.99
GALAXY S21 FE,256GB,tmobile,damaged,$7.00,$179.99
GALAXY S21 FE,256GB,unlocked,flawless,$71.00,$199.99
GALAXY S21 FE,256GB,unlocked,good,$66.00,$199.99
GALAXY S21 FE,256GB,unlocked,fair,$41.00,$199.99
GALAXY S21 FE,256GB,unlocked,damaged,$12.00,$199.99
GALAXY S21 ULTRA,128GB,att,flawless,$142.00,$225.99
GALAXY S21 ULTRA,128GB,att,good,$126.00,$225.99
GALAXY S21 ULTRA,128GB,att,fair,$77.00,$225.99
GALAXY S21 ULTRA,128GB,att,damaged,$21.00,$225.99
GALAXY S21 ULTRA,128GB,verizon,flawless,$132.00,$225.99
